date,ger_battery_prod,ger_hydro-reservoir_prod,ger_battery_cons,ger_hydro-reservoir_cons,ger_battery_soc,ger_hydro-reservoir_soc
2025-09-25 00:00:00,0.0,10000.0,-0.0,-0.0,6400.0,7990001.0
2025-09-25 01:00:00,0.0,10000.0,-0.0,-0.0,6400.0,7980002.0
2025-09-25 02:00:00,-1684.2105263157896,10000.0,1684.2105263157896,-0.0,8000.0,7970003.0
2025-09-25 03:00:00,0.0,10000.0,-0.0,-0.0,8000.0,7960004.0
2025-09-25 04:00:00,0.0,10000.0,-0.0,-0.0,8000.0,7950005.0
2025-09-25 05:00:00,0.0,10000.0,-0.0,-0.0,8000.0,7940006.0
2025-09-25 06:00:00,0.0,10000.0,-0.0,-0.0,8000.0,7930007.0
2025-09-25 07:00:00,3831.9629999999997,10000.0,-0.0,-0.0,3966.3547368320214,7920008.0
2025-09-25 08:00:00,1931.1069999809981,10000.0,-0.0,-0.0,1933.6105263206257,7910009.0
2025-09-25 09:00:00,1836.930000000002,10000.0,-0.0,-0.0,-0.0,7900010.0
2025-09-25 10:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7890011.0
2025-09-25 11:00:00,-868.0740000000005,10000.0,868.0740000000005,-0.0,824.6703000000005,7880012.0
2025-09-25 12:00:00,-1578.284999999998,10000.0,1578.284999999998,-0.0,2324.0410499999984,7870013.0
2025-09-25 13:00:00,-1869.2079999999987,10000.0,1869.2079999999987,-0.0,4099.788649999997,7860014.0
2025-09-25 14:00:00,-1862.2179999999971,10000.0,1862.2179999999971,-0.0,5868.895749999994,7850015.0
2025-09-25 15:00:00,-486.7639999999974,10000.0,486.7639999999974,-0.0,6331.3215499999915,7840016.0
2025-09-25 16:00:00,1558.2760000000017,10000.0,-0.0,-0.0,4691.0310236801,7830017.0
2025-09-25 17:00:00,4000.0,10000.0,-0.0,-0.0,480.5047078800999,7820018.0
2025-09-25 18:00:00,456.4794724849537,10000.0,-0.0,-0.0,-0.0,7810019.0
2025-09-25 19:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7800020.0
2025-09-25 20:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7790021.0
2025-09-25 21:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7780022.0
2025-09-25 22:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7770023.0
2025-09-25 23:00:00,0.0,10000.0,-0.0,-0.0,-0.0,7760024.0
